sample.id,extractor,week,unique.id,sample.date,mycorrhizal.fungi.type,landscape.position,tree.identity,season,bacterial.feeders,fungal.feeders,fungal.feeders.aph.,plant.parasites.aph.,plant.parasites,omnivorous,predators,unknown,total.nematodes,soil.moisture,AIRTEMP,SOILTEMP,PRECIP,simpson,season.1
50,LPH,Week13,Sample50_Week13,3/29/2023,ECM,Downhill,Hickory,Winter.late,3182.25,639.29,NA,2528.75,NA,241.51,14.21,411.99,7017.99,29.09,8.06078125,8.065416667,93.472,0.61070673,Winter
90,LPH,Week13,Sample90_Week13,3/29/2023,ECM,Uphill,Shagbark Hickory,Winter.late,1805.58,0,NA,5637.27,NA,82.7,0,509.97,8035.52,27.87,8.06078125,8.065416667,93.472,0.381187421,Winter
97,LPH,Week13,Sample97_Week13,3/29/2023,ECM,Uphill,Hickory,Winter.late,4094.15,14.07,NA,3770.56,NA,14.07,70.35,534.63,8497.82,28.86,8.06078125,8.065416667,93.472,0.511381739,Winter
175,LPH,Week13,Sample175_Week13,3/29/2023,AM,Uphill,Maple,Winter.late,3089.39,28.34,NA,15305.21,NA,453.49,56.69,1218.75,20151.86,28.77,8.06078125,8.065416667,93.472,0.319306508,Winter
177,LPH,Week13,Sample177_Week13,3/29/2023,AM,Uphill,Elm,Winter.late,3339.03,25.68,NA,9041.06,NA,0,102.74,796.23,13304.74,22.17,8.06078125,8.065416667,93.472,0.406241682,Winter
29,LPH,Week15,Sample29_Week15,4/14/2023,AM,Downhill,Tulip Poplar,Spring,6455.724537,208.6979915,NA,2921.771881,NA,180.8715926,55.65279773,194.7847921,10017.50359,28.47,13.80161458,12.66015625,2.54,0.478757554,Spring
30,LPH,Week15,Sample30_Week15,4/14/2023,AM,Downhill,Black Cherry (Padus),Spring,1311.851688,40.99536524,NA,1694.475097,NA,136.6512175,40.99536524,150.3163392,3375.285071,26.36,13.80161458,12.66015625,2.54,0.556341569,Spring
46,LPH,Week15,Sample46_Week15,4/14/2023,AM,Downhill,Tulip Poplar,Spring,1156.482961,0,NA,349.6343835,NA,67.23738145,13.44747629,94.13233403,1680.934536,26.34,13.80161458,12.66015625,2.54,0.418414249,Spring
50,LPH,Week15,Sample50_Week15,4/14/2023,ECM,Downhill,Hickory,Spring,2674.747376,160.4848426,NA,2340.403954,NA,187.2323163,106.989895,80.24242129,5550.100806,25.29,13.80161458,12.66015625,2.54,0.575391108,Spring
90,LPH,Week15,Sample90_Week15,4/14/2023,ECM,Uphill,Shagbark Hickory,Spring,1243.673831,0,NA,3610.665961,NA,173.8468796,53.49134758,200.5925534,5282.270573,25.2,13.80161458,12.66015625,2.54,0.433975069,Spring
97,LPH,Week15,Sample97_Week15,4/14/2023,ECM,Uphill,Hickory,Spring,2249.458126,0,NA,5733.37498,NA,246.8917455,41.14862426,178.3107051,8449.184181,26.82,13.80161458,12.66015625,2.54,0.444587455,Spring
175,LPH,Week15,Sample175_Week15,4/14/2023,AM,Uphill,Maple,Spring,2518.383276,26.93458049,NA,5764.000225,NA,336.6822561,215.4766439,511.7570293,9373.234011,25.05,13.80161458,12.66015625,2.54,0.494096507,Spring
177,LPH,Week15,Sample177_Week15,4/14/2023,AM,Uphill,Elm,Spring,1573.422333,0,NA,2111.698395,NA,96.61365204,82.81170175,110.4156023,3974.961684,27.27,13.80161458,12.66015625,2.54,0.534566327,Spring
29,LPH,Week17,Sample29_Week17,4/28/2023,AM,Downhill,Tulip Poplar,Spring,2328.321266,160.072087,NA,1149.608625,NA,29.10401582,29.10401582,145.5200791,3841.730089,31.18,8.884031414,12.13685864,33.528,0.504464009,Spring
30,LPH,Week17,Sample30_Week17,4/28/2023,AM,Downhill,Black Cherry (Padus),Spring,1490.062447,54.68119072,NA,1695.116912,NA,27.34059536,41.01089304,54.68119072,3362.893229,26.94,8.884031414,12.13685864,33.528,0.534082371,Spring
46,LPH,Week17,Sample46_Week17,4/28/2023,AM,Downhill,Tulip Poplar,Spring,1527.946516,0,NA,922.5337455,NA,43.24376932,14.41458977,28.82917955,2536.9678,31.04,8.884031414,12.13685864,33.528,0.49326199,Spring
50,LPH,Week17,Sample50_Week17,4/28/2023,ECM,Downhill,Hickory,Spring,2064.589807,68.81966024,NA,1803.075098,NA,165.1671846,0,96.34752433,4197.999274,26.76,8.884031414,12.13685864,33.528,0.551484167,Spring
90,LPH,Week17,Sample90_Week17,4/28/2023,ECM,Uphill,Shagbark Hickory,Spring,3078.655445,0,NA,4953.836488,NA,181.920549,69.96944192,167.9266606,8452.308584,28.77,8.884031414,12.13685864,33.528,0.503772142,Spring
175,LPH,Week17,Sample175_Week17,4/28/2023,AM,Uphill,Maple,Spring,1257.127096,13.96807884,NA,5014.540304,NA,69.84039421,83.80847305,251.4254192,6690.709765,28.03,8.884031414,12.13685864,33.528,0.355155491,Spring
177,LPH,Week17,Sample177_Week17,4/28/2023,AM,Uphill,Elm,Spring,1765.296322,0,NA,16003.42403,NA,260.4535557,57.87856793,347.2714076,18434.32389,30.9,8.884031414,12.13685864,33.528,0.2073856,Spring
97 dup,LPH,Week17,Sample97_Week17,4/28/2023,ECM,Uphill,Hickory,Spring,2390.937954,0,NA,7471.681106,NA,711.5886768,227.7083766,270.4036972,11072.31981,29.64,8.884031414,12.13685864,33.528,0.467774497,Spring
47,LPH,Week19,Sample47_Week19,5/11/2023,AM,Downhill,Tulip Poplar,Spring,3010.774529,0,NA,1603.870543,NA,140.6903985,56.27615942,154.7594384,4966.371069,29.16,16.97859375,16.28739583,44.704,0.496357854,Spring
56,LPH,Week19,Sample56_Week19,5/11/2023,AM,Downhill,Sycamore,Spring,2440.262514,81.34208381,NA,3692.930605,NA,16.26841676,211.4894179,81.34208381,6523.635122,39.08,16.97859375,16.28739583,44.704,0.526680951,Spring
89,LPH,Week19,Sample89_Week19,5/11/2023,AM,Uphill,Maple,Spring,2923.827953,0,NA,7531.46754,NA,378.5312975,143.580837,274.1088706,11251.5165,23.03,16.97859375,16.28739583,44.704,0.45698103,Spring
99,LPH,Week19,Sample99_Week19,5/11/2023,ECM,Uphill,Hickory,Spring,3290.961574,0,NA,8297.723627,NA,112.5115068,182.8311986,393.7902738,12277.81818,28.74,16.97859375,16.28739583,44.704,0.435469346,Spring
174,LPH,Week19,Sample174_Week19,5/11/2023,AM,Uphill,Maple,Spring,2661.49925,0,NA,11264.32511,NA,53.76766162,161.3029849,134.4191541,14275.31416,25.91,16.97859375,16.28739583,44.704,0.329894895,Spring
187,LPH,Week19,Sample187_Week19,5/11/2023,ECM,Uphill,White Oak,Spring,4194.172263,0,NA,4735.355781,NA,432.9468142,135.2958795,324.7101107,9822.480848,26.42,16.97859375,16.28739583,44.704,0.554135113,Spring
50A,LPH,Week19,Sample50_Week19,5/11/2023,ECM,Downhill,Hornbeam,Spring,3066.20901,659.9911771,NA,2172.470958,NA,109.9985295,82.49889714,54.99926476,6146.167837,27.07,16.97859375,16.28739583,44.704,0.607147043,Spring
60A,LPH,Week19,Sample60_Week19,5/11/2023,ECM,Downhill,Hornbeam,Spring,1902.761052,13.39972572,NA,3778.722652,NA,66.99862859,133.9972572,348.3928686,6244.272184,25.24,16.97859375,16.28739583,44.704,0.484431818,Spring
47,LPH,Week21,Sample47_Week21,5/26/2023,AM,Downhill,Tulip Poplar,Spring,1603.856302,12.53012736,NA,1804.338339,NA,87.7108915,25.06025471,87.7108915,3621.206806,20.81,17.31692708,18.62385417,13.208,0.532543635,Spring
56,LPH,Week21,Sample56_Week21,5/26/2023,AM,Downhill,Sycamore,Spring,3817.195436,0,NA,2744.03373,NA,135.843254,95.09027777,163.0119047,6955.174603,26.58,17.31692708,18.62385417,13.208,0.520344,Spring
89,LPH,Week21,Sample89_Week21,5/26/2023,AM,Uphill,Sugar Maple,Spring,3504.791351,0,NA,4358.356772,NA,258.6561883,12.93280941,193.9921412,8328.729262,22.57,17.31692708,18.62385417,13.208,0.526310468,Spring
99,LPH,Week21,Sample99_Week21,5/26/2023,ECM,Uphill,Bitternut Hickory,Spring,2691.841373,65.02032302,NA,5357.674617,NA,195.0609691,182.0569045,221.0690983,8712.723285,23.63,17.31692708,18.62385417,13.208,0.500388125,Spring
174,LPH,Week21,Sample174_Week21,5/26/2023,AM,Uphill,Sugar Maple,Spring,3642.7677,38.61591201,NA,3964.566966,NA,399.0310908,514.8788268,90.10379469,8649.96429,22.23,17.31692708,18.62385417,13.208,0.598568602,Spring
187,LPH,Week21,Sample187_Week21,5/26/2023,ECM,Uphill,Chinkapin Oak,Spring,4678.127064,13.17782272,NA,4203.725446,NA,158.1338726,803.8471857,303.0899225,10160.10131,24.4,17.31692708,18.62385417,13.208,0.585969001,Spring
50A,LPH,Week21,Sample50_Week21,5/26/2023,ECM,Downhill,Hornbeam,Spring,5636.030292,559.6981584,NA,6560.183065,NA,260.3247248,221.2760161,260.3247248,13497.83698,23.07,17.31692708,18.62385417,13.208,0.570678021,Spring
60A,LPH,Week21,Sample60_Week21,5/26/2023,ECM,Downhill,Hornbeam,Spring,5204.330083,0,NA,6437.276113,NA,51.91351704,77.87027556,77.87027556,11849.26026,22.6,17.31692708,18.62385417,13.208,0.50541604,Spring
47,LPH,Week25,Sample47_Week25,6/20/2023,AM,Downhill,Tulip Poplar,Summer,1288.686269,12.51151717,NA,7043.984168,NA,200.1842748,100.0921374,125.1151717,8770.573538,19.85,19.72921875,19.35557292,1.778,0.313273198,Summer
56,LPH,Week25,Sample56_Week25,6/20/2023,AM,Downhill,Sycamore,Summer,3847.22045,40.92787713,NA,5429.765033,NA,122.7836314,95.49837997,136.4262571,9672.621628,26.62,19.72921875,19.35557292,1.778,0.512757854,Summer
89,LPH,Week25,Sample89_Week25,6/20/2023,AM,Uphill,Sugar Maple,Summer,3996.683767,0,NA,14247.9181,NA,752.6222678,259.5249199,259.5249199,19516.27398,22.67,19.72921875,19.35557292,1.778,0.407774573,Summer
99,LPH,Week25,Sample99_Week25,6/20/2023,ECM,Uphill,Bitternut Hickory,Summer,6880.349733,28.54916902,NA,25351.66209,NA,228.3933521,628.0817183,599.5325493,33716.56861,30.15,19.72921875,19.35557292,1.778,0.370411712,Summer
174,LPH,Week25,Sample174_Week25,6/20/2023,AM,Uphill,Sugar Maple,Summer,3429.07674,548.6522785,NA,8943.032139,NA,219.4609114,685.8153481,301.7587532,14127.79617,27.95,19.72921875,19.35557292,1.778,0.515817901,Summer
187,LPH,Week25,Sample187_Week25,6/20/2023,ECM,Uphill,Chinkapin Oak,Summer,2585.551602,13.97595461,NA,3060.734059,NA,195.6633645,880.4851403,209.6393191,6946.04944,18.55,19.72921875,19.35557292,1.778,0.628312185,Summer
50A,LPH,Week25,Sample50_Week25,6/20/2023,ECM,Downhill,Hornbeam,Summer,4385.378646,1302.324568,NA,4411.956698,NA,478.4049432,119.6012358,146.1792882,10843.84538,25.01,19.72921875,19.35557292,1.778,0.644913391,Summer
60A,LPH,Week25,Sample60_Week25,6/20/2023,ECM,Downhill,Hornbeam,Summer,2537.263018,0,NA,5482.528129,NA,102.0005233,89.25045792,242.2512429,8453.293372,21.34,19.72921875,19.35557292,1.778,0.458416921,Summer
47,LPH,Week27,Sample47_Week27,7/7/2023,AM,Downhill,Tulip Poplar,Summer,2504.96,0,NA,1653.52,NA,86.38,0,37.02,4331.23,18.55,23.83322917,22.43515625,73.152,0.499611724,Summer
56,LPH,Week27,Sample56_Week27,7/7/2023,AM,Downhill,Sycamore,Summer,2879.9,59.07,NA,2643.6,NA,44.31,0,73.84,5700.72,32.15,23.83322917,22.43515625,73.152,0.517149752,Summer
89,LPH,Week27,Sample89_Week27,7/7/2023,AM,Uphill,Sugar Maple,Summer,5012.26,0,NA,15611.97,NA,410.84,164.34,438.23,21637.64,26.3,23.83322917,22.43515625,73.152,0.401328028,Summer
99,LPH,Week27,Sample99_Week27,7/7/2023,ECM,Uphill,Bitternut Hickory,Summer,5566.72,55.95,NA,8168.25,NA,447.58,447.58,335.68,15021.75,27.84,23.83322917,22.43515625,73.152,0.545103693,Summer
174,LPH,Week27,Sample174_Week27,7/7/2023,AM,Uphill,Sugar Maple,Summer,3750.6,795.58,NA,6876.1,NA,326.76,170.48,284.14,12203.66,29.11,23.83322917,22.43515625,73.152,0.562790404,Summer
187,LPH,Week27,Sample187_Week27,7/7/2023,ECM,Uphill,Chinkapin Oak,Summer,33932.09,0,NA,9836.62,NA,283.48,283.48,198.43,44534.1,29.75,23.83322917,22.43515625,73.152,0.364940092,Summer
50A,LPH,Week27,Sample50_Week27,7/7/2023,ECM,Downhill,Hornbeam,Summer,5702.28,376.29,NA,10507.24,NA,347.35,0,260.51,17193.67,30.82,23.83322917,22.43515625,73.152,0.500647357,Summer
60A,LPH,Week27,Sample60_Week27,7/7/2023,ECM,Downhill,Hornbeam,Summer,4628.54,12.75,NA,5533.84,NA,51,51,89.26,10366.39,21.31,23.83322917,22.43515625,73.152,0.507172624,Summer
49,LPH,Week29,Sample49_Week29,7/20/2023,AM,Downhill,Sugar Maple,Summer,3588.527051,109.5733451,NA,3163.930339,NA,424.5967121,41.0900044,191.7533539,7519.470805,26.66,24.12510417,22.95572917,54.61,0.570131889,Summer
53,LPH,Week29,Sample53_Week29,7/20/2023,AM,Downhill,Tulip Poplar,Summer,3608.001067,214.6022939,NA,4439.584956,NA,228.0149373,53.65057349,80.47586023,8624.329688,25.9,24.12510417,22.95572917,54.61,0.550278607,Summer
88,LPH,Week29,Sample88_Week29,7/20/2023,AM,Uphill,Sugar Maple,Summer,4344.972696,27.49982719,NA,11714.92638,NA,1979.987558,247.4984447,412.4974078,18727.38232,27.68,24.12510417,22.95572917,54.61,0.522707392,Summer
98,LPH,Week29,Sample98_Week29,7/20/2023,ECM,Uphill,Shagbark Hickory,Summer,3524.044068,0,NA,4025.542647,NA,677.7007823,176.2022034,176.2022034,8579.691903,26.6,24.12510417,22.95572917,54.61,0.587726327,Summer
178,LPH,Week29,Sample178_Week29,7/20/2023,AM,Uphill,Elm,Summer,1716.752959,0,NA,2484.406721,NA,460.5922573,83.74404678,139.5734113,4885.069396,28.68,24.12510417,22.95572917,54.61,0.585311419,Summer
186,LPH,Week29,Sample186_Week29,7/20/2023,ECM,Uphill,Bitternut Hickory,Summer,2314.938138,82.67636209,NA,2631.864193,NA,1102.351494,0,124.0145431,6255.844731,27.45,24.12510417,22.95572917,54.61,0.64074738,Summer
56A,LPH,Week29,Sample56_Week29,7/20/2023,ECM,Downhill,Hornbeam,Summer,4720.204928,0,NA,4884.515859,NA,388.3712915,74.68678683,119.4988589,10187.27772,32.83,24.12510417,22.95572917,54.61,0.543260045,Summer
58A,LPH,Week29,Sample58_Week29,7/20/2023,AM,Downhill,Elm,Summer,8398.794052,314.2405938,NA,4827.878213,NA,457.0772273,28.56732671,285.6732671,14312.23068,30.18,24.12510417,22.95572917,54.61,0.521426409,Summer
49,LPH,Week31,Sample49_Week31,8/4/2023,AM,Downhill,Sugar Maple,Summer,4451.059963,0,NA,8390.503839,NA,486.0352833,51.16160877,306.9696526,13685.73035,22.38,23.78963542,24.41015625,5.588,0.49466053,Summer
53,LPH,Week31,Sample53_Week31,8/4/2023,AM,Downhill,Tulip Poplar,Summer,2853.028283,52.8338571,NA,2985.112926,NA,317.0031426,52.8338571,118.8761785,6379.688244,24.53,23.78963542,24.41015625,5.588,0.56230305,Summer
88,LPH,Week31,Sample88_Week31,8/4/2023,AM,Uphill,Sugar Maple,Summer,5569.763186,0,NA,8379.509792,NA,795.6804551,49.73002844,223.785128,15018.46859,19.69,23.78963542,24.41015625,5.588,0.534572417,Summer
98,LPH,Week31,Sample98_Week31,8/4/2023,ECM,Uphill,Shagbark Hickory,Summer,6751.73154,0,NA,6344.712263,NA,933.7501066,119.7115521,311.2500355,14461.1555,16.72,23.78963542,24.41015625,5.588,0.566838734,Summer
178,LPH,Week31,Sample178_Week31,8/4/2023,AM,Uphill,Elm,Summer,10266.78735,0,NA,7399.732371,NA,955.6849926,27.3052855,300.3581405,18949.86814,27.06,23.78963542,24.41015625,5.588,0.536874396,Summer
186,LPH,Week31,Sample186_Week31,8/4/2023,ECM,Uphill,Bitternut Hickory,Summer,4911.69802,13.31083474,NA,5683.726436,NA,1211.285962,79.86500846,212.9733559,12112.85962,24.93,23.78963542,24.41015625,5.588,0.5910995,Summer
56A,LPH,Week31,Sample56_Week31,8/4/2023,ECM,Downhill,Hornbeam,Summer,2366.487555,26.73997237,NA,6243.783548,NA,427.8395579,26.73997237,254.0297375,9345.620343,25.21,23.78963542,24.41015625,5.588,0.458369377,Summer
58A,LPH,Week31,Sample58_Week31,8/4/2023,AM,Downhill,Elm,Summer,9026.568505,362.0973039,NA,7500.58701,NA,284.5050245,0,155.1845588,17328.9424,23.17,23.78963542,24.41015625,5.588,0.532275185,Summer
49,KCB,Week33,Sample49_Week33,8/18/2023,AM,Downhill,Sugar Maple,Summer,4960.250786,0,NA,5394.62303,NA,1219.044685,14.01200787,308.2641731,11896.19468,28.64,20.02626667,23.30864583,24.384,0.588976341,Summer
53,KCB,Week33,Sample53_Week33,8/18/2023,AM,Downhill,Tulip Poplar,Summer,2905.129239,0,NA,4995.244845,NA,302.343767,52.58152469,749.2867268,9004.586103,23.73,20.02626667,23.30864583,24.384,0.508636253,Summer
88,KCB,Week33,Sample88_Week33,8/18/2023,AM,Uphill,Sugar Maple,Summer,9366.636283,0,NA,13476.2146,NA,1387.64982,480.3403222,507.0258957,25217.86692,25.06,20.02626667,23.30864583,24.384,0.555376477,Summer
98,KCB,Week33,Sample98_Week33,8/18/2023,ECM,Uphill,Shagbark Hickory,Summer,4264.938287,0,NA,7551.679719,NA,769.5148591,52.17049892,143.468872,12781.77224,23.12,20.02626667,23.30864583,24.384,0.525361543,Summer
178,KCB,Week33,Sample178_Week33,8/18/2023,AM,Uphill,Elm,Summer,8815.389013,0,NA,9900.359969,NA,542.4854777,216.9941911,298.3670128,19773.59566,26.51,20.02626667,23.30864583,24.384,0.535784949,Summer
186,KCB,Week33,Sample186_Week33,8/18/2023,ECM,Uphill,Bitternut Hickory,Summer,4445.376363,0,NA,4937.743999,NA,815.9235098,295.4205811,337.6235213,10832.08797,29.16,20.02626667,23.30864583,24.384,0.59235314,Summer
56A,KCB,Week33,Sample56_Week33,8/18/2023,ECM,Downhill,Hornbeam,Summer,8986.175754,0,NA,8134.2753,NA,604.5745156,27.4806598,467.1712166,18219.67745,27.61,20.02626667,23.30864583,24.384,0.532656308,Summer
58A,KCB,Week33,Sample58_Week33,8/18/2023,AM,Downhill,Elm,Summer,14454.30782,194.2037518,NA,4438.942899,NA,1081.992332,0,1137.479118,21306.92592,28.39,20.02626667,23.30864583,24.384,0.435014919,Summer
49,KCB,Week35,Sample49_Week35,9/1/2023,AM,Downhill,Sugar Maple,Summer,5409.0078,0,NA,6921.479175,NA,897.228782,76.90532417,128.1755403,13432.79662,22.19,21.79541667,23.94583333,76.2,0.559494507,Summer
53,KCB,Week35,Sample53_Week35,9/1/2023,AM,Downhill,Tulip Poplar,Summer,3664.330601,12.90257254,NA,6722.240293,NA,916.0826502,103.2205803,425.7848938,11844.56159,21.81,21.79541667,23.94583333,76.2,0.543933097,Summer
88,KCB,Week35,Sample88_Week35,9/1/2023,AM,Uphill,Sugar Maple,Summer,9272.363856,0,NA,22362.75989,NA,2103.813648,259.73008,519.46016,34518.12763,22.67,21.79541667,23.94583333,76.2,0.489092088,Summer
98,KCB,Week35,Sample98_Week35,9/1/2023,ECM,Uphill,Shagbark Hickory,Summer,8136.478772,0,NA,5648.258964,NA,1443.167489,0,373.2329712,15601.1382,20.11,21.79541667,23.94583333,76.2,0.567949293,Summer
178,KCB,Week35,Sample178_Week35,9/1/2023,AM,Uphill,Elm,Summer,5780.251523,0,NA,6908.77682,NA,1761.600464,55.0500145,330.300087,14835.97891,27.3,21.79541667,23.94583333,76.2,0.599606091,Summer
186,KCB,Week35,Sample186_Week35,9/1/2023,ECM,Uphill,Bitternut Hickory,Summer,5958.358879,27.20711817,NA,9304.834414,NA,2067.740981,108.8284727,489.728127,17956.69799,26.44,21.79541667,23.94583333,76.2,0.585800798,Summer
56A,KCB,Week35,Sample56_Week35,9/1/2023,ECM,Downhill,Hornbeam,Summer,5601.216255,0,NA,9602.085008,NA,613.4665422,160.0347501,320.0695003,16296.87206,25.61,21.79541667,23.94583333,76.2,0.514312948,Summer
58A,KCB,Week35,Sample58_Week35,9/1/2023,AM,Downhill,Elm,Summer,3681.591432,758.3802575,NA,5005.3097,NA,813.5351854,27.57746391,399.8732267,10686.26727,27.3,21.79541667,23.94583333,76.2,0.623428617,Summer
52,KCB,Week37,Sample52_Week37,9/15/2023,ECM,Downhill,American Basswood,Fall,4788.78054,1676.073189,NA,5195.826886,NA,502.8219567,95.7756108,311.2707351,12570.54892,16.63,18.53494792,21.23854167,0.508,0.647346497,Fall
57,KCB,Week37,Sample57_Week37,9/15/2023,AM,Downhill,Black Walnut,Fall,5014.91753,0,NA,7931.13478,NA,378.2541203,146.4209498,292.8418996,13763.56928,17.74,18.53494792,21.23854167,0.508,0.513851147,Fall
87,KCB,Week37,Sample87_Week37,9/15/2023,ECM,Uphill,White Oak,Fall,2025.308773,1106.854794,NA,7630.233051,NA,942.0040804,0,1931.108365,13635.50906,15.14,18.53494792,21.23854167,0.508,0.529648717,Fall
175A,KCB,Week37,Sample175_Week37,9/15/2023,AM,Uphill,Sugar Maple,Fall,16456.61644,0,NA,12324.75435,NA,330.5489673,47.22128104,495.8234509,29654.96449,15.43,18.53494792,21.23854167,0.508,0.502700913,Fall
57A,KCB,Week37,Sample57A_Week37,9/15/2023,ECM,Downhill,Hackberry,Fall,3237.350461,26.21336406,NA,4443.165208,NA,432.520507,144.1735023,406.3071429,8689.730185,23.88,18.53494792,21.23854167,0.508,0.556501362,Fall
58B,KCB,Week37,Sample58_Week37,9/15/2023,ECM,Downhill,Hornbeam,Fall,6163.239335,0,NA,18170.50641,NA,589.3137213,147.3284303,245.5473839,25315.93528,18.73,18.53494792,21.23854167,0.508,0.413671373,Fall
90A,KCB,Week37,Sample90_Week37,9/15/2023,AM,Uphill,Black Cherry (Padus),Fall,6248.660756,3425.191822,NA,11178.1598,NA,532.2933237,300.8614438,833.1547675,22518.32191,13.79,18.53494792,21.23854167,0.508,0.625509557,Fall
97A,KCB,Week37,Sample97_Week37,9/15/2023,ECM,Uphill,Hickory,Fall,3156.441083,205.5919479,NA,8501.831729,NA,362.8093199,96.74915197,253.9665239,12577.38976,17.91,18.53494792,21.23854167,0.508,0.457237897,Fall
52,KCB,Week39,Sample52_Week39,9/29/2023,ECM,Downhill,American Basswood,Fall,6310.088191,836.2767482,NA,7881.274809,NA,608.2012715,25.34171964,430.8092339,16091.99197,21.47,18.8990625,19.6853125,19.05,0.580052576,Fall
57,KCB,Week39,Sample57_Week39,9/29/2023,AM,Downhill,Black Walnut,Fall,4760.077134,307.1017506,NA,13717.21152,NA,409.4690007,102.3672502,383.8771882,19680.10385,22.05,18.8990625,19.6853125,19.05,0.433071365,Fall
87,KCB,Week39,Sample87_Week39,9/29/2023,ECM,Uphill,White Oak,Fall,4158.61622,1514.409375,NA,7788.391072,NA,336.5354167,72.11473215,1442.294643,15312.36146,17.35,18.8990625,19.6853125,19.05,0.582256277,Fall
175A,KCB,Week39,Sample175_Week39,9/29/2023,AM,Uphill,Sugar Maple,Fall,3078.465448,0,NA,27757.49679,NA,667.000847,179.5771511,1026.155149,32708.69538,22.62,18.8990625,19.6853125,19.05,0.22250881,Fall
57A,KCB,Week39,Sample57A_Week39,9/29/2023,ECM,Downhill,Hackberry,Fall,6668.587449,345.3850073,NA,13709.12798,NA,318.8169298,132.8403874,371.9530848,21546.71084,24.98,18.8990625,19.6853125,19.05,0.481123536,Fall
58B,KCB,Week39,Sample58_Week39,9/29/2023,ECM,Downhill,Hornbeam,Fall,1107.193172,1107.193172,NA,1866.779186,NA,1866.779186,244.612445,12.87433921,3437.448569,22.01,18.8990625,19.6853125,19.05,0.752754354,Fall
90A,KCB,Week39,Sample90_Week39,9/29/2023,AM,Uphill,Black Cherry (Padus),Fall,1996.685605,1339.094537,NA,7400.88856,NA,358.6860368,47.82480491,896.7150921,12039.89464,16.4,18.8990625,19.6853125,19.05,0.511284514,Fall
97A,KCB,Week39,Sample97_Week39,9/29/2023,ECM,Uphill,Hickory,Fall,5708.349717,0,NA,3848.91006,NA,585.1383537,338.0799377,377.0891612,10857.56723,23.04,18.8990625,19.6853125,19.05,0.564312938,Fall
57,KCB,Week41,Sample57_Week41,10/13/2023,AM,Downhill,Black Walnut,Fall,5394.431807,631.7803017,1263.560603,5078.541656,4446.761354,971.9696949,145.7954542,656.079544,12878.59846,18.12,12.64567708,16.36317708,2.032,0.623424463,Fall
87,KCB,Week41,Sample87_Week41,10/13/2023,ECM,Uphill,White Oak,Fall,2426.908801,140.0139693,816.7481542,9544.285573,8867.551388,466.7132309,140.0139693,1306.797047,14024.73259,14.04,12.64567708,16.36317708,2.032,0.398808181,Fall
