sample.id,week,unique.id,sample.date,sample.type,mycorrhizal.fungi.type,landscape.position,tree.identity,season,acarina,araneida,coleoptera,collembola,diptera,enchytraeida,gastropoda,hemiptera,Hymenoptera.notAnts,Hymenoptera.formicidae,isopoda,myriapoda,opisthopora,diplura,dermaptera,lepidoptera,opiliones,blattodea,pseudoscorpiones,psocopteran,thysanoptera,unknown,totalAbundance,soil.moisture,AIRTEMP,SOILTEMP,PRECIP,shannon
57,Week37,Sample57S_Week37,9/15/2023,Soil,AM,Downhill,Black Walnut,Fall,16,80,176,128,112,0,16,64,0,1632,48,240,480,16,0,0,0,0,0,0,0,16,3024,17.74,18.53494792,21.23854167,0.508,1.577261874
90,Week37,Sample90L_Week37,9/15/2023,Litter,AM,Uphill,Black Cherry,Fall,0,0,16,0,0,0,0,0,0,2576,0,0,0,0,0,16,0,16,0,16,0,0,2640,13.79,18.53494792,21.23854167,0.508,0.147726669
90,Week37,Sample90S_Week37,9/15/2023,Soil,AM,Uphill,Black Cherry,Fall,16,32,144,0,160,0,16,0,0,256,0,16,336,16,0,0,0,0,0,0,0,0,992,13.79,18.53494792,21.23854167,0.508,1.667722172
97,Week37,Sample97L_Week37,9/15/2023,Litter,ECM,Uphill,Hickory,Fall,112,48,64,32,16,0,64,0,16,1232,48,48,0,0,0,48,0,48,0,0,0,0,1776,17.91,18.53494792,21.23854167,0.508,1.312681354
97,Week37,Sample97S_Week37,9/15/2023,Soil,ECM,Uphill,Hickory,Fall,16,48,272,0,512,368,16,32,0,1488,64,1632,448,112,0,0,0,0,0,0,0,0,5008,17.91,18.53494792,21.23854167,0.508,1.779385528
17,Week45,Sample17L_Week45,11/20/2023,Litter,AM,Uphill,Sugar Maple,Winter.late,0,64,0,16,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,112,NA,13.83322917,11.93848958,0,1.153741943
17,Week45,Sample17S_Week45,11/20/2023,Soil,AM,Uphill,Sugar Maple,Winter.late,0,0,32,0,32,80,0,32,0,96,0,624,112,0,0,0,0,0,0,0,0,0,1008,NA,13.83322917,11.93848958,0,1.29461243
54,Week45,Sample54L_Week45,11/20/2023,Litter,AM,Downhill,Sugar Maple,Winter.late,0,16,16,16,32,0,16,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,128,26.63,13.83322917,11.93848958,0,1.732867951
54,Week45,Sample54S_Week45,11/20/2023,Soil,AM,Downhill,Sugar Maple,Winter.late,16,48,112,48,48,176,0,0,0,560,96,176,192,0,0,0,0,0,0,0,0,0,1472,26.63,13.83322917,11.93848958,0,1.899297312
58,Week45,Sample58L_Week45,11/20/2023,Litter,ECM,Downhill,Musclewood,Winter.late,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,64,28.23,13.83322917,11.93848958,0,0.562335145
58,Week45,Sample58S_Week45,11/20/2023,Soil,ECM,Downhill,Musclewood,Winter.late,0,0,64,0,32,16,0,16,0,0,0,64,432,0,0,0,0,0,0,0,0,0,624,28.23,13.83322917,11.93848958,0,1.061914348
98,Week45,Sample98L_Week45,11/20/2023,Litter,ECM,Uphill,Shagbark Hickory,Winter.late,0,16,16,32,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,16,0,0,128,19.98,13.83322917,11.93848958,0,1.494175138
98,Week45,Sample98S_Week45,11/20/2023,Soil,ECM,Uphill,Shagbark Hickory,Winter.late,16,0,336,48,144,80,0,16,0,1536,0,192,272,0,0,0,0,0,0,0,0,0,2640,19.98,13.83322917,11.93848958,0,1.401618493
